id(勿改),中文名(可修改),英文名,部位,器械,状态,说明
0987,弹力带单臂单腿分腿蹲,band one arm single leg split squat,大腿,弹力带,ok,
0988,弹力带单臂站姿低划船,band one arm standing low row,背部,弹力带,ok,
0989,弹力带单臂转体胸推,band one arm twisting chest press,胸部,弹力带,ok,
0990,弹力带单臂转体坐姿划船,band one arm twisting seated row,背部,弹力带,ok,
0991,弹力带穿越拉,band pull through,大腿,弹力带,ok,
0992,弹力带推仰卧起坐,band push sit-up,腰腹,弹力带,ok,
0993,弹力带反向飞鸟,band reverse fly,肩部,弹力带,ok,
0994,弹力带反向腕弯举,band reverse wrist curl,前臂,弹力带,ok,
0996,弹力带坐姿髋内旋旋转,band seated hip internal rotation,大腿,弹力带,ok,
0997,弹力带肩推,band shoulder press,肩部,弹力带,ok,
0998,弹力带侧肱三头肌伸展,band side triceps extension,上臂,弹力带,ok,
0999,弹力带单腿提踵,band single leg calf raise,小腿,弹力带,ok,
1000,弹力带单腿反向提踵,band single leg reverse calf raise,小腿,弹力带,ok,
1001,弹力带单腿分腿蹲,band single leg split squat,大腿,弹力带,ok,
1002,弹力带仰卧直腿上举,band lying straight leg raise,腰腹,弹力带,ok,
1003,弹力带深蹲划船,band squat row,大腿,弹力带,ok,
1004,弹力带深蹲,band squat,大腿,弹力带,ok,
1005,弹力带站姿卷腹,band standing crunch,腰腹,弹力带,ok,
1007,弹力带站姿转体卷腹,band standing twisting crunch,腰腹,弹力带,ok,
1008,弹力带登台阶,band step-up,大腿,弹力带,ok,
1009,弹力带罗马尼亚硬拉,band stiff leg deadlift,大腿,弹力带,ok,
1010,弹力带直腿硬拉,band straight leg deadlift,背部,弹力带,ok,
1011,弹力带坐姿转体,band seated twist,腰腹,弹力带,ok,
1012,弹力带转体过头推举,band twisting overhead press,肩部,弹力带,ok,
1013,弹力带反握下拉,band underhand pulldown,背部,弹力带,ok,
1014,弹力带V字两头起,band v-up,腰腹,弹力带,ok,
1015,弹力带垂直帕洛夫推举,band vertical pallof press,腰腹,弹力带,ok,
1016,弹力带腕弯举,band wrist curl,前臂,弹力带,ok,
1017,弹力带Y字上举,band y-raise,肩部,弹力带,ok,
1018,弹力带耸肩,band shrug,背部,弹力带,ok,
1022,弹力带站姿后束划船,band standing rear delt row,肩部,弹力带,ok,
1023,弹力带直背直腿硬拉,band straight back stiff leg deadlift,大腿,弹力带,ok,
1160,波比跳,burpee,有氧,徒手,ok,
1167,动态胸部拉伸,dynamic chest stretch (male),胸部,徒手,ok,
1201,哑铃波比跳,dumbbell burpee,有氧,哑铃,ok,
1253,器械驴式提踵,lever donkey calf raise,小腿,器械,ok,
1254,弹力带卧推,band bench press,胸部,弹力带,ok,
1255,杠铃下斜仰卧上拉,barbell decline pullover,胸部,杠铃,ok,
1256,杠铃反握下斜卧推,barbell reverse grip decline bench press,胸部,杠铃,ok,
1257,杠铃反握上斜卧推,barbell reverse grip incline bench press,胸部,杠铃,ok,
1258,杠铃宽反握卧推,barbell wide reverse grip bench press,胸部,杠铃,ok,
1259,助力背后头胸部拉伸,behind head chest stretch,胸部,助力,ok,
1260,绳索下斜单臂推举,cable decline one arm press,胸部,绳索,ok,
1261,绳索下斜推举,cable decline press,胸部,绳索,ok,
1262,绳索单臂下斜胸飞鸟,cable one arm decline chest fly,胸部,绳索,ok,
1263,绳索单臂飞鸟（健身球）,cable one arm fly on exercise ball,胸部,绳索,ok,
1264,绳索单臂上斜飞鸟（健身球）,cable one arm incline fly on exercise ball,胸部,绳索,ok,
1265,绳索单臂上斜推举,cable one arm incline press,胸部,绳索,ok,
1266,绳索单臂上斜推举（健身球）,cable one arm incline press on exercise ball,胸部,绳索,ok,
1267,绳索单臂推举（健身球）,cable one arm press on exercise ball,胸部,绳索,ok,
1268,绳索推举（健身球）,cable press on exercise ball,胸部,绳索,ok,
1269,绳索站姿上直交叉夹胸,cable standing up straight crossovers,胸部,绳索,ok,
1270,绳索上胸交叉夹胸,cable upper chest crossovers,胸部,绳索,ok,
1271,胸前肩拉伸,chest and front of shoulder stretch,胸部,徒手,ok,
1272,健身球胸部拉伸,chest stretch with exercise ball,胸部,健身球,ok,
1273,击掌俯卧撑,clap push up,胸部,徒手,ok,
1274,哑铃深度俯卧撑,deep push up,胸部,哑铃,ok,
1275,下放俯卧撑,drop push up,胸部,徒手,ok,
1276,哑铃下斜单臂飞鸟,dumbbell decline one arm fly,胸部,哑铃,ok,
1277,哑铃飞鸟（健身球）,dumbbell fly on exercise ball,胸部,哑铃,ok,
1278,哑铃上斜飞鸟（健身球）,dumbbell incline fly on exercise ball,胸部,哑铃,ok,
1279,哑铃上斜单臂飞鸟,dumbbell incline one arm fly,胸部,哑铃,ok,
1280,哑铃上斜单臂飞鸟（健身球）,dumbbell incline one arm fly on exercise ball,胸部,哑铃,ok,
1281,哑铃上斜单臂推举,dumbbell incline one arm press,胸部,哑铃,ok,
1282,哑铃上斜单臂推举（健身球）,dumbbell incline one arm press on exercise ball,胸部,哑铃,ok,
1283,哑铃上斜推举（健身球）,dumbbell incline press on exercise ball,胸部,哑铃,ok,
1284,哑铃仰卧上拉（健身球）,dumbbell lying pullover on exercise ball,胸部,哑铃,ok,
1285,哑铃单臂凳飞鸟,dumbbell one arm bench fly,胸部,哑铃,ok,
1286,哑铃单臂胸飞鸟（健身球）,dumbbell one arm chest fly on exercise ball,胸部,哑铃,ok,
1287,哑铃单臂下斜胸推,dumbbell one arm decline chest press,胸部,哑铃,ok,
1288,哑铃单臂飞鸟（健身球）,dumbbell one arm fly on exercise ball,胸部,哑铃,ok,
1289,哑铃单臂上斜胸推,dumbbell one arm incline chest press,胸部,哑铃,ok,
1290,哑铃单臂推举（健身球）,dumbbell one arm press on exercise ball,胸部,哑铃,ok,
1291,哑铃单臂仰卧上拉（健身球）,dumbbell one arm pullover on exercise ball,胸部,哑铃,ok,
1292,哑铃单腿飞鸟（健身球）,dumbbell one leg fly on exercise ball,胸部,哑铃,ok,
1293,哑铃推举（健身球）,dumbbell press on exercise ball,胸部,哑铃,ok,
1294,哑铃仰卧上拉髋伸展（健身球）,dumbbell pullover hip extension on exercise ball,胸部,哑铃,ok,
1296,健身球屈体俯卧撑,exercise ball pike push up,胸部,健身球,ok,
1297,等长胸挤压,isometric chest squeeze,胸部,徒手,ok,
1298,壶铃单臂地面推举,kettlebell one arm floor press,胸部,壶铃,ok,
1299,器械上斜胸推,lever incline chest press,胸部,器械,ok,
1300,器械下斜胸推,lever decline chest press,胸部,器械,ok,
1301,器械内侧胸推,machine inner chest press,胸部,器械,ok,
1302,药球胸传递,medicine ball chest pass,胸部,药球,ok,
1303,药球胸推3点站姿,medicine ball chest push from 3 point stance,胸部,药球,ok,
1304,药球胸推多次反应,medicine ball chest push multiple response,胸部,药球,ok,
1305,药球胸推单反应,medicine ball chest push single response,胸部,药球,ok,
1306,增强式俯卧撑,plyo push up,胸部,徒手,ok,
1308,史密斯机宽距卧推,smith wide grip bench press,胸部,史密斯机,ok,
1309,史密斯机宽距下斜卧推,smith wide grip decline bench press,胸部,史密斯机,ok,
1310,负重下放俯卧撑,weighted drop push up,胸部,负重,ok,
1311,宽手俯卧撑,wide hand push up,胸部,徒手,ok,
1312,药球胸推（跑步释放）,medicine ball chest push with run release,胸部,药球,ok,
1313,器械单侧划船,lever unilateral row,背部,器械,ok,
1314,健身球背部伸展,back extension on exercise ball,背部,健身球,ok,
1316,杠铃屈臂仰卧上拉,barbell bent arm pullover,背部,杠铃,ok,
1317,杠铃反握上斜凳划船,barbell reverse grip incline bench row,背部,杠铃,ok,
1318,绳索上斜凳划船,cable incline bench row,背部,绳索,ok,
1319,绳索掌旋转划船,cable palm rotational row,背部,绳索,ok,
1320,绳索交叉夹胸坐姿划船,cable rope crossover seated row,背部,绳索,ok,
1321,绳索垫高坐姿划船,cable rope elevated seated row,背部,绳索,ok,
1322,绳索伸展上斜凳划船,cable rope extension incline bench row,背部,绳索,ok,
1323,双绳坐姿划船,cable rope seated row,背部,绳索,ok,
1324,绳索上划船,cable upper row,背部,绳索,ok,
1325,绳索宽距后下拉背后颈,cable wide grip rear pulldown behind neck,背部,绳索,ok,
1326,正握引体向上,chin-up,背部,徒手,ok,
1327,窄距反握引体向上,close grip chin-up,背部,徒手,ok,
1328,哑铃仰卧后束划船,dumbbell lying rear delt row,背部,哑铃,ok,
1329,哑铃掌旋转俯身划船,dumbbell palm rotational bent over row,背部,哑铃,ok,
1330,哑铃反握上斜凳单臂划船,dumbbell reverse grip incline bench one arm row,背部,哑铃,ok,
1331,哑铃反握上斜凳双臂划船,dumbbell reverse grip incline bench two arm row,背部,哑铃,ok,
1332,健身球交替臂上,exercise ball alternating arm ups,背部,健身球,ok,
1333,健身球背部伸展（臂伸展）,exercise ball back extension with arms extended,背部,健身球,ok,
1334,健身球背部伸展（手背后头）,exercise ball back extension with hands behind head,背部,健身球,ok,
1335,健身球背部伸展（跪姿离地面）,exercise ball back extension with knees off ground,背部,健身球,ok,
1336,健身球背部伸展（旋转）,exercise ball back extension with rotation,背部,健身球,ok,
1338,健身球抱,exercise ball hug,背部,健身球,ok,
1339,健身球背阔肌拉伸,exercise ball lat stretch,背部,健身球,ok,
1341,健身球下背拉伸（金字塔）,exercise ball lower back stretch (pyramid),背部,健身球,ok,
1342,健身球仰卧侧背阔肌拉伸,exercise ball lying side lat stretch,背部,健身球,ok,
1343,健身球俯卧抬腿,exercise ball prone leg raise,背部,健身球,ok,
1344,曲杆杠反握俯身划船,ez bar reverse grip bent over row,背部,曲杆,ok,
1345,壶铃双臂划船,kettlebell two arm row,背部,壶铃,ok,
1346,跪姿背阔肌拉伸,kneeling lat stretch,背部,徒手,ok,
1347,器械单臂侧向宽下拉,lever one arm lateral wide pulldown,背部,器械,ok,
1348,器械反握垂直划船,lever reverse grip vertical row,背部,器械,ok,
1349,器械反向T字杠划船,lever reverse t-bar row,背部,器械,ok,
1350,器械坐姿划船,lever seated row,背部,器械,ok,
1351,器械T字杠反握划船,lever t-bar reverse grip row,背部,器械,ok,
1352,下背弯举,lower back curl,背部,徒手,ok,
1353,药球接过头投掷,medicine ball catch and overhead throw,背部,药球,ok,
1354,药球过头砸球,medicine ball overhead slam,背部,药球,ok,
1356,器械单臂侧向高划船,lever one arm lateral high row,背部,器械,ok,
1358,侧卧地面拉伸,side lying floor stretch,背部,徒手,ok,
1359,史密斯机俯身划船,smith bent over row,背部,史密斯机,ok,
1360,史密斯机单臂划船,smith one arm row,背部,史密斯机,ok,
1361,史密斯机反握俯身划船,smith reverse grip bent over row,背部,史密斯机,ok,
1362,狮身式,sphinx,背部,徒手,ok,
1363,脊柱拉伸,spine stretch,背部,徒手,ok,
1364,站姿骨盆倾斜,standing pelvic tilt,背部,徒手,ok,
1365,上背拉伸,upper back stretch,背部,徒手,ok,
1366,向上朝向犬式,upward facing dog,背部,徒手,ok,
1367,宽距后引体向上,wide grip rear pull-up,背部,徒手,ok,
1368,踝绕环,ankle circles,小腿,徒手,ok,
1370,杠铃地面提踵,barbell floor calf raise,小腿,杠铃,ok,
1372,杠铃站姿提踵,barbell standing calf raise,小腿,杠铃,ok,
1374,跳箱下（单腿稳定）,box jump down with one leg stabilization,小腿,徒手,ok,
1375,绳索站姿提踵,cable standing calf raise,小腿,绳索,ok,
1376,绳索站姿单腿提踵,cable standing one leg calf raise,小腿,绳索,ok,
1377,小腿拉伸（手靠墙）,calf stretch with hands against wall,小腿,徒手,ok,
1378,战绳小腿拉伸（绳）,calf stretch with rope,小腿,战绳,ok,
1379,哑铃坐姿提踵,dumbbell seated calf raise,小腿,哑铃,ok,
1380,哑铃坐姿单腿提踵锤握,dumbbell seated one leg calf raise - hammer grip,小腿,哑铃,ok,
1381,哑铃坐姿单腿提踵掌上,dumbbell seated one leg calf raise - palm up,小腿,哑铃,ok,
1382,哑铃（墙提踵）,exercise ball on the wall calf raise,小腿,哑铃,ok,
1383,雪橇机哈克提踵,hack calf raise,小腿,雪橇机,ok,
1384,雪橇机哈克单腿提踵,hack one leg calf raise,小腿,雪橇机,ok,
1385,器械坐姿深蹲提踵（腿举器械）,lever seated squat calf raise on leg press machine,小腿,器械,ok,
1386,单腿驴式提踵,one leg donkey calf raise,小腿,徒手,ok,
1387,单腿地面提踵,one leg floor calf raise,小腿,徒手,ok,
1388,战绳腓骨肌拉伸,peroneals stretch,小腿,战绳,ok,
1389,战绳后侧胫骨肌拉伸,posterior tibialis stretch,小腿,战绳,ok,
1390,坐姿小腿拉伸,seated calf stretch (male),小腿,徒手,ok,
1391,雪橇机小腿推举（腿举）,sled calf press on leg press,小腿,雪橇机,ok,
1392,雪橇机单腿小腿推举（腿举）,sled one leg calf press on leg press,小腿,雪橇机,ok,
1393,史密斯机单腿地面提踵,smith one leg floor calf raise,小腿,史密斯机,ok,
1395,史密斯机坐姿单腿提踵,smith seated one leg calf raise,小腿,史密斯机,ok,
1396,史密斯机趾上举,smith toe raise,小腿,史密斯机,ok,
1397,站姿小腿,standing calves,小腿,徒手,ok,
1398,站姿小腿拉伸,standing calves calf stretch,小腿,徒手,ok,
1399,凳臂屈伸（地面）,bench dip on floor,上臂,徒手,ok,
1401,肌肉上（垂直杠）,muscle-up (on vertical bar),背部,徒手,ok,
1403,颈侧拉伸,neck side stretch,颈部,徒手,ok,
1405,背胸肌拉伸,back pec stretch,背部,徒手,ok,
1407,小腿推拉伸（手靠墙）,calf push stretch with hands against wall,小腿,徒手,ok,
1408,弹力带髋提举,band hip lift,大腿,弹力带,ok,
1409,杠铃臀桥,barbell glute bridge,大腿,杠铃,ok,
1410,杠铃侧向弓步,barbell lateral lunge,大腿,杠铃,ok,
1411,杠铃掌下腕弯举越过凳,barbell palms down wrist curl over a bench,前臂,杠铃,ok,
1412,杠铃掌上腕弯举越过凳,barbell palms up wrist curl over a bench,前臂,杠铃,ok,
1413,绳索反向单臂弯举,cable reverse one arm curl,上臂,绳索,ok,
1414,哑铃单臂反向牧师凳弯举,dumbbell one arm reverse preacher curl,上臂,哑铃,ok,
1415,哑铃单臂坐姿中立腕弯举,dumbbell one arm seated neutral wrist curl,前臂,哑铃,ok,
1416,健身球单腿俯卧下身体旋转,exercise ball one leg prone lower body rotation,大腿,健身球,ok,
1417,健身球单腿对角踢腿腘绳肌弯举,exercise ball one legged diagonal kick hamstring curl,大腿,健身球,ok,
1418,抱膝胸,hug keens to chest,大腿,徒手,ok,
1419,铁十字拉伸,iron cross stretch,大腿,徒手,ok,
1420,杠铃跪姿蹲跳,kneeling jump squat,大腿,杠铃,ok,
1421,改良俯卧撑下臂,modified push up to lower arms,前臂,徒手,ok,
1422,骨盆倾斜臀桥,pelvic tilt into bridge,大腿,徒手,ok,
1423,反向挺身（平躺凳）,reverse hyper on flat bench,大腿,徒手,ok,
1424,坐姿臀拉伸,seated glute stretch,大腿,徒手,ok,
1425,雪橇机45度单腿推举,sled 45 degrees one leg press,大腿,雪橇机,ok,
1426,史密斯机坐姿腕弯举,smith seated wrist curl,前臂,史密斯机,ok,
1427,直腿外侧髋外展肌,straight leg outer hip abductor,大腿,徒手,ok,
1428,腕绕环,wrist circles,前臂,徒手,ok,
1429,宽距引体向上,wide grip pull-up,背部,徒手,ok,
1430,胸臂屈伸（臂屈伸引体向上框）,chest dip (on dip-pull-up cage),胸部,徒手,ok,
1431,器械站姿反握引体向上,assisted standing chin-up,背部,器械,ok,
1432,器械站姿引体向上,assisted standing pull-up,背部,器械,ok,
1433,史密斯机前蹲（高翻握）,smith front squat (clean grip),大腿,史密斯机,ok,
1434,史密斯机低杠深蹲,smith low bar squat,大腿,史密斯机,ok,
1435,杠铃低杠深蹲,barbell low bar squat,大腿,杠铃,ok,
1436,杠铃高杠深蹲,barbell high bar squat,大腿,杠铃,ok,
1437,哑铃指弯举,dumbbell finger curls,前臂,哑铃,ok,
1438,壶铃坐姿双臂军式推举,kettlebell seated two arm military press,肩部,壶铃,ok,
1439,器械无握耸肩（第2式）,lever gripless shrug v. 2,背部,器械,ok,
1441,哑铃越过凳单臂反向腕弯举,dumbbell over bench one arm reverse wrist curl,前臂,哑铃,ok,
1451,器械坐姿臂屈伸,lever seated dip,上臂,器械,ok,
1452,器械坐姿卷腹,lever seated crunch,腰腹,器械,ok,
1456,杠铃站姿窄距军式推举,barbell standing close grip military press,肩部,杠铃,ok,
1457,杠铃站姿宽军式推举,barbell standing wide military press,肩部,杠铃,ok,
1458,曲杆坐姿弯举,ez barbell seated curls,上臂,曲杆,ok,
1460,行走弓步,walking lunge,大腿,徒手,ok,
1461,杠铃全程深蹲（后视角）,barbell full squat (back pov),大腿,杠铃,ok,
1462,杠铃全程深蹲（侧视角）,barbell full squat (side pov),大腿,杠铃,ok,
1463,雪橇机45°腿举（侧视角）,sled 45° leg press (side pov),大腿,雪橇机,ok,
1464,雪橇机45°腿举（后视角）,sled 45в° leg press (back pov),大腿,雪橇机,ok,
1466,转体髋提举,twist hip lift,大腿,徒手,ok,
1467,俯卧撑（下臂）,push-up on lower arms,上臂,徒手,ok,
1468,蟹行转体体前屈,crab twist toe touch,腰腹,徒手,ok,
1471,尺蠖式,inchworm,腰腹,徒手,ok,
1472,向前跳跃,forward jump,大腿,徒手,ok,
1473,向后跳跃,backward jump,大腿,徒手,ok,
1476,单腿深蹲,one leg squat,大腿,徒手,ok,
1479,器械上斜胸推（第2式）,lever incline chest press v. 2,胸部,器械,ok,
1489,西斯深蹲,sissy squat,大腿,徒手,ok,
1490,站姿提踵（阶梯）,standing calf raise (on a staircase),小腿,徒手,ok,
1494,蝶式瑜伽体式,butterfly yoga pose,大腿,徒手,ok,
1495,腹斜肌卷腹（第2式）,oblique crunch v. 2,腰腹,徒手,ok,
1496,锤式锤,sledge hammer,腰腹,锤式,ok,
1511,腘绳肌拉伸,hamstring stretch,大腿,徒手,ok,
1512,四肢着地队拉伸,all fours squad stretch,大腿,徒手,ok,
1545,杠铃全程泽奇深蹲,barbell full zercher squat,大腿,杠铃,ok,
1548,椅腿伸展拉伸,chair leg extended stretch,大腿,徒手,ok,
1559,健身球髂腰肌拉伸,exercise ball hip flexor stretch,大腿,健身球,ok,
1560,健身球坐姿腘绳肌拉伸,exercise ball seated hamstring stretch,大腿,健身球,ok,
1564,战绳中级髂腰肌股四头肌拉伸,intermediate hip flexor and quad stretch,大腿,战绳,ok,
1576,腿上腘绳肌拉伸,leg up hamstring stretch,大腿,徒手,ok,
1582,战绳斜躺大趾体式（绳）,reclining big toe pose with rope,大腿,战绳,ok,
1585,跑者拉伸,runners stretch,大腿,徒手,ok,
1587,坐姿宽角度体式序列,seated wide angle pose sequence,大腿,徒手,ok,
1599,战绳站姿腘绳肌小腿拉伸（拉带）,standing hamstring and calf stretch with strap,大腿,战绳,ok,
1604,世界最大拉伸,world greatest stretch,大腿,徒手,ok,
1614,器械牧师凳弯举（第2式）,lever preacher curl v. 2,上臂,器械,ok,
1615,器械锤握牧师凳弯举,lever hammer grip preacher curl,上臂,器械,ok,
1616,器械反握牧师凳弯举,lever reverse grip preacher curl,上臂,器械,ok,
1617,哑铃下斜单臂锤推举,dumbbell decline one arm hammer press,上臂,哑铃,ok,
1618,哑铃上斜锤推举（健身球）,dumbbell incline hammer press on exercise ball,上臂,哑铃,ok,
1619,哑铃上斜单臂锤推举,dumbbell incline one arm hammer press,上臂,哑铃,ok,
1620,哑铃上斜单臂锤推举（健身球）,dumbbell incline one arm hammer press on exercise ball,上臂,哑铃,ok,
1621,哑铃单臂锤推举（健身球）,dumbbell one arm hammer press on exercise ball,上臂,哑铃,ok,
1622,哑铃单臂反握推举,dumbbell one arm reverse grip press,胸部,哑铃,ok,
1623,哑铃掌上斜卧推,dumbbell palms in incline bench press,上臂,哑铃,ok,
1624,哑铃反向卧推,dumbbell reverse bench press,胸部,哑铃,ok,
1625,史密斯机下斜窄距卧推,smith machine decline close grip bench press,上臂,史密斯机,ok,
1626,史密斯机反向下斜窄距卧推,smith machine reverse decline close grip bench press,胸部,史密斯机,ok,
1627,曲杆窄距牧师凳弯举,ez barbell close grip preacher curl,上臂,曲杆,ok,
1629,杠铃站姿宽距肱二头肌弯举,barbell standing wide grip biceps curl,上臂,杠铃,ok,
1630,绳索窄距弯举,cable close grip curl,上臂,绳索,ok,
1631,绳索集中弯举,cable concentration curl,上臂,绳索,ok,
1632,绳索拖拽弯举,cable drag curl,上臂,绳索,ok,
1633,绳索单臂牧师凳弯举,cable one arm preacher curl,上臂,绳索,ok,
1634,绳索仰卧肱二头肌弯举,cable lying bicep curl,上臂,绳索,ok,
1635,绳索单臂反向牧师凳弯举,cable one arm reverse preacher curl,上臂,绳索,ok,
1636,绳索过头弯举,cable overhead curl,上臂,绳索,ok,
1637,绳索过头弯举（健身球）,cable overhead curl on exercise ball,上臂,绳索,ok,
1638,绳索下拉肱二头肌弯举,cable pulldown bicep curl,上臂,绳索,ok,
1639,绳索锤牧师凳弯举,cable rope hammer preacher curl,上臂,绳索,ok,
1640,绳索单臂锤牧师凳弯举,cable rope one arm hammer preacher curl,上臂,绳索,ok,
1641,绳索坐姿弯举,cable seated curl,上臂,绳索,ok,
1642,绳索坐姿单臂集中弯举,cable seated one arm concentration curl,上臂,绳索,ok,
1643,绳索坐姿过头弯举,cable seated overhead curl,上臂,绳索,ok,
1644,绳索蹲姿弯举,cable squatting curl,上臂,绳索,ok,
1645,绳索双臂弯举（上斜凳）,cable two arm curl on incline bench,上臂,绳索,ok,
1646,哑铃交替锤牧师凳弯举,dumbbell alternate hammer preacher curl,上臂,哑铃,ok,
1647,哑铃交替牧师凳弯举,dumbbell alternate preacher curl,上臂,哑铃,ok,
1648,哑铃交替坐姿锤式弯举,dumbbell alternate seated hammer curl,上臂,哑铃,ok,
1653,哑铃肱二头肌弯举（鹳式站姿）,dumbbell bicep curl with stork stance,上臂,哑铃,ok,
1654,哑铃肱二头肌弯举反向,dumbbell biceps curl reverse,上臂,哑铃,ok,
1655,哑铃肱二头肌弯举深蹲,dumbbell biceps curl squat,上臂,哑铃,ok,
1656,哑铃肱二头肌弯举V字坐（波速球）,dumbbell biceps curl v sit on bosu ball,上臂,哑铃,ok,
1657,哑铃交叉身体锤式弯举（第2式）,dumbbell cross body hammer curl v. 2,上臂,哑铃,ok,
1658,哑铃弓步（肱二头肌弯举）,dumbbell lunge with bicep curl,上臂,哑铃,ok,
1659,哑铃锤式弯举（健身球）,dumbbell hammer curl on exercise ball,上臂,哑铃,ok,
1660,哑铃跪姿肱二头肌弯举,dumbbell kneeling bicep curl exercise ball,上臂,哑铃,ok,
1661,哑铃仰卧肱二头肌弯举,dumbbell lying supine biceps curl,上臂,哑铃,ok,
1662,哑铃仰卧宽弯举,dumbbell lying wide curl,上臂,哑铃,ok,
1663,哑铃单臂锤牧师凳弯举,dumbbell one arm hammer preacher curl,上臂,哑铃,ok,
1664,哑铃高弯举,dumbbell high curl,上臂,哑铃,ok,
1665,哑铃单臂俯卧弯举,dumbbell one arm prone curl,上臂,哑铃,ok,
1666,哑铃单臂俯卧锤式弯举,dumbbell one arm prone hammer curl,上臂,哑铃,ok,
1667,哑铃单臂反向蜘蛛弯举,dumbbell one arm reverse spider curl,上臂,哑铃,ok,
1669,哑铃单臂坐姿锤式弯举,dumbbell one arm seated hammer curl,上臂,哑铃,ok,
1670,哑铃单臂站姿弯举,dumbbell one arm standing curl,上臂,哑铃,ok,
1671,哑铃单臂站姿锤式弯举,dumbbell one arm standing hammer curl,上臂,哑铃,ok,
1672,哑铃单臂佐特曼牧师凳弯举,dumbbell one arm zottman preacher curl,上臂,哑铃,ok,
1673,哑铃牧师凳弯举越过,dumbbell preacher curl over exercise ball,上臂,哑铃,ok,
1674,哑铃俯卧上斜锤式弯举,dumbbell prone incline hammer curl,上臂,哑铃,ok,
1675,哑铃反向蜘蛛弯举,dumbbell reverse spider curl,上臂,哑铃,ok,
1676,哑铃坐姿交替锤式弯举（健身球）,dumbbell seated alternate hammer curl on exercise ball,上臂,哑铃,ok,
1677,哑铃坐姿肱二头肌弯举,dumbbell seated bicep curl,上臂,哑铃,ok,
1678,哑铃坐姿锤式弯举,dumbbell seated hammer curl,上臂,哑铃,ok,
1680,哑铃站姿单臂弯举越过上斜凳,dumbbell standing one arm curl over incline bench,上臂,哑铃,ok,
1682,曲杆杠坐姿窄距集中弯举,ez bar seated close grip concentration curl,上臂,曲杆,ok,
1683,史密斯机肱二头肌弯举,smith machine bicep curl,上臂,史密斯机,ok,
1685,深蹲过头伸展,squat to overhead reach,大腿,徒手,ok,
1686,深蹲过头伸展（转体）,squat to overhead reach with twist,大腿,徒手,ok,
1687,后侧台阶过头伸展,posterior step to overhead reach,腰腹,徒手,ok,
1688,弓步（转体）,lunge with twist,腰腹,徒手,ok,
1700,哑铃推推举,dumbbell push press,肩部,哑铃,ok,
1701,药球窄距俯卧撑,medicine ball close grip push up,上臂,药球,ok,
1705,波速球深蹲,squat on bosu ball,大腿,波速球,ok,
1707,健身球俯卧转体,prone twist on stability ball,腰腹,健身球,ok,
1708,助力仰卧小腿拉伸,assisted lying calves stretch,小腿,助力,ok,
1709,助力仰卧臀拉伸,assisted lying glutes stretch,大腿,助力,ok,
1710,助力仰卧臀肌梨状肌拉伸,assisted lying gluteus and piriformis stretch,大腿,助力,ok,
1712,助力侧卧内收肌拉伸,assisted side lying adductor stretch,大腿,助力,ok,
1713,助力俯卧仰卧股四头肌拉伸,assisted prone lying quads stretch,大腿,助力,ok,
1714,助力俯卧股直肌拉伸,assisted prone rectus femoris stretch,腰腹,助力,ok,
1716,助力坐姿胸大肌拉伸（健身球）,assisted seated pectoralis major stretch with stability ball,胸部,助力,ok,
1717,绳索深蹲划船（绳附件）,cable squat row (with rope attachment),背部,绳索,ok,
1718,杠铃坐姿窄距背后颈肱三头肌伸展,barbell seated close grip behind neck triceps extension,上臂,杠铃,ok,
1719,杠铃上斜窄距卧推,barbell incline close grip bench press,上臂,杠铃,ok,
1720,杠铃仰卧背头肱三头肌伸展,barbell lying back of the head tricep extension,上臂,杠铃,ok,
1721,杠铃反握碎颅者,barbell reverse grip skullcrusher,上臂,杠铃,ok,
1722,绳索高滑轮过头肱三头肌伸展,cable high pulley overhead tricep extension,上臂,绳索,ok,
1723,绳索单臂肱三头肌下压,cable one arm tricep pushdown,上臂,绳索,ok,
1724,双绳高滑轮过头肱三头肌伸展,cable rope high pulley overhead tricep extension,上臂,绳索,ok,
1725,双绳上斜肱三头肌伸展,cable rope incline tricep extension,上臂,绳索,ok,
1726,绳索仰卧（地面肱三头肌伸展）,cable rope lying on floor tricep extension,上臂,绳索,ok,
1727,绳索站姿反握单臂过头肱三头肌伸展,cable standing reverse grip one arm overhead tricep extension,上臂,绳索,ok,
1728,绳索双臂肱三头肌后踢,cable two arm tricep kickback,上臂,绳索,ok,
1729,哑铃仰卧交替伸展,dumbbell lying alternate extension,上臂,哑铃,ok,
1730,哑铃坐姿俯身交替后踢,dumbbell seated bent over alternate kickback,上臂,哑铃,ok,
1732,哑铃向前弓步肱三头肌伸展,dumbbell forward lunge triceps extension,上臂,哑铃,ok,
1733,哑铃上斜双臂伸展,dumbbell incline two arm extension,上臂,哑铃,ok,
1734,哑铃后踢（健身球）,dumbbell kickbacks on exercise ball,上臂,哑铃,ok,
1735,哑铃仰卧单伸展,dumbbell lying single extension,上臂,哑铃,ok,
1736,哑铃单臂法式推举（健身球）,dumbbell one arm french press on exercise ball,上臂,哑铃,ok,
1737,哑铃坐姿俯身肱三头肌伸展,dumbbell seated bent over triceps extension,上臂,哑铃,ok,
1738,哑铃坐姿反握单臂过头肱三头肌伸展,dumbbell seated reverse grip one arm overhead tricep extension,上臂,哑铃,ok,
1739,哑铃站姿交替肱三头肌后踢,dumbbell standing alternating tricep kickback,上臂,哑铃,ok,
